,Unnamed: 0,pickup_loc_lat,pickup_loc_lon,dropoff_loc_lat,dropoff_loc_lon,pickup_time_day_of_week_sin,pickup_time_day_of_week_cos,pickup_time_of_day_sin,pickup_time_of_day_cos
7455516,7455516,-73.95124816894531,40.78554534912109,-73.97882843017578,40.7498779296875,-2.4492935982947064e-16,1.0,0.5983246005706592,-0.8012538126910606
5844741,5844741,-73.99267578125,40.7425651550293,-73.99215698242188,40.71965408325195,0.8660254037844387,-0.4999999999999998,-0.9575713608048144,0.2881962681340896
5424342,5424342,-73.95258331298828,40.77254104614258,-73.93930053710938,40.790821075439446,0.0,1.0,-0.4265687399014579,0.9044551454543682
10212492,10212492,-73.97675323486328,40.759868621826165,-73.96546173095702,40.75516891479492,-0.8660254037844386,0.5000000000000001,-0.4107188526134778,0.9117620435770885
8367089,8367089,-73.98451232910156,40.7696418762207,-73.9847183227539,40.780799865722656,1.2246467991473532e-16,-1.0,-0.3090169943749476,0.9510565162951536
8300788,8300788,-73.95428466796875,40.77448654174805,-73.9607696533203,40.77078628540039,1.2246467991473532e-16,-1.0,-0.8571673007021123,0.5150380749100542
9558787,9558787,-73.97899627685547,40.756511688232415,-73.99236297607422,40.7493896484375,0.8660254037844387,-0.4999999999999998,-0.8890171414857365,-0.4578739151169567
10230376,10230376,-73.99873352050781,40.734729766845696,-73.97796630859375,40.725410461425774,-0.8660254037844386,0.5000000000000001,-0.039259815759069,0.9992290362407228
3400385,3400385,-73.96031188964844,40.75794982910156,-73.96866607666014,40.76487731933594,0.8660254037844387,-0.4999999999999998,0.1391731009600657,-0.9902680687415704
9419475,9419475,-73.99221801757811,40.7428092956543,-73.97561645507811,40.7345085144043,0.8660254037844386,0.5000000000000001,-0.8362861558477594,0.5482932295199139
5087601,5087601,-73.99140930175781,40.75008392333984,-73.98935699462889,40.73896026611328,0.0,1.0,-0.9563047559630354,0.2923717047227367
9130462,9130462,-73.97340393066406,40.79011154174805,-73.969970703125,40.784664154052734,0.0,1.0,-0.8480480961564262,0.5299192642332047
5021391,5021391,-73.96454620361328,40.807254791259766,-73.99140167236328,40.767913818359375,0.8660254037844386,0.5000000000000001,-0.5299192642332058,0.8480480961564254
261436,261436,-73.96484375,40.76950454711913,-73.96601104736328,40.76179885864258,-0.8660254037844384,-0.5000000000000004,-0.8314696123025448,-0.555570233019603
4083320,4083320,-73.99014282226561,40.73453140258789,-73.97160339355469,40.69319915771485,1.2246467991473532e-16,-1.0,-0.2419218955996675,-0.9702957262759964
8412897,8412897,-73.99394989013672,40.75118637084961,-73.90379333496092,40.744876861572266,-0.8660254037844384,-0.5000000000000004,0.5519369853120581,0.8338858220671682
3278966,3278966,-73.94746398925781,40.77519989013672,-73.95127105712889,40.777690887451165,-0.8660254037844386,0.5000000000000001,-0.9753423205085128,0.2206974350215004
7622431,7622431,-73.97031402587889,40.76463317871094,-73.96036529541014,40.78146362304688,-2.4492935982947064e-16,1.0,-0.9781476007338058,0.2079116908177585
3484212,3484212,-73.96123504638672,40.76920318603516,-73.97016906738281,40.76530456542969,0.8660254037844387,-0.4999999999999998,-0.3987490689252463,-0.917060074385124
6008624,6008624,-73.97480010986328,40.753849029541016,-73.86492156982422,40.81459045410156,0.8660254037844387,-0.4999999999999998,-0.5842496656374341,0.8115739819650125
3374730,3374730,-73.98526000976561,40.73555755615234,-73.98271179199219,40.72810745239258,-0.8660254037844386,0.5000000000000001,-0.6915130557822692,0.7223639620597557
8600173,8600173,-73.96257781982422,40.81008529663086,-73.96414184570312,40.792678833007805,-0.8660254037844384,-0.5000000000000004,-0.7660444431189779,-0.6427876096865395
2798201,2798201,-73.9647445678711,40.76015853881836,-73.9716567993164,40.744266510009766,0.8660254037844386,0.5000000000000001,-0.9961946980917455,-0.0871557427476582
100285,100285,-73.9884262084961,40.72343063354492,-73.96884155273438,40.750347137451165,-0.8660254037844384,-0.5000000000000004,0.5807029557109398,0.8141155183563192
3239475,3239475,-73.96807861328125,40.753150939941406,-73.96728515625,40.7568359375,0.8660254037844387,-0.4999999999999998,0.5112930860770525,-0.8594064115014525
7472976,7472976,-73.98448944091797,40.7683982849121,-73.99407958984375,40.72280883789063,-2.4492935982947064e-16,1.0,0.3173046564050921,-0.9483236552061992
9147968,9147968,-73.94504547119139,40.778770446777344,-73.9514923095703,40.793655395507805,0.0,1.0,-0.6156614753256588,0.7880107536067216
573619,573619,-73.98411560058595,40.76015853881836,-73.98072814941406,40.74485778808594,-0.8660254037844386,0.5000000000000001,-0.5664062369248329,0.8241261886220156
2388955,2388955,-73.99574279785155,40.764461517333984,-73.99812316894531,40.74601364135742,1.2246467991473532e-16,-1.0,0.9271838545667874,-0.374606593415912
10352117,10352117,-74.00286102294923,40.73991394042969,-74.00917053222656,40.74761581420898,-2.4492935982947064e-16,1.0,-0.882947592858927,-0.4694715627858907
1631938,1631938,-73.97848510742188,40.76258850097656,-73.97345733642578,40.794780731201165,-0.8660254037844384,-0.5000000000000004,-0.9997620270799092,0.0218148850345613
